FLUX,VALUE
FLUX.1,844.48
FLUX.2,817.49
FLUX.3,770.07
FLUX.4,675.01
FLUX.5,605.52
FLUX.6,499.45
FLUX.7,440.77
FLUX.8,362.95
FLUX.9,207.27
FLUX.10,150.46
FLUX.11,85.49
FLUX.12,-20.12
FLUX.13,-35.88
FLUX.14,-65.59
FLUX.15,-15.12
FLUX.16,16.6
FLUX.17,-25.7
FLUX.18,61.88
FLUX.19,53.18
FLUX.20,64.32
FLUX.21,72.38
FLUX.22,100.35
FLUX.23,67.26
FLUX.24,14.71
FLUX.25,-16.41
FLUX.26,-147.46
FLUX.27,-231.27
FLUX.28,-320.29
FLUX.29,-407.82
FLUX.30,-450.48
FLUX.31,-146.99
FLUX.32,-146.99
FLUX.33,-146.99
FLUX.34,-146.99
FLUX.35,-166.3
FLUX.36,-139.9
FLUX.37,-96.41
FLUX.38,-23.49
FLUX.39,13.59
FLUX.40,67.59
FLUX.41,32.09
FLUX.42,76.65
FLUX.43,58.3
FLUX.44,5.41
FLUX.45,61.66
FLUX.46,61.66
FLUX.47,126.79
FLUX.48,20.8
FLUX.49,-16.95
FLUX.50,13.37
FLUX.51,-24.29
FLUX.52,-129.41
FLUX.53,-108.02
FLUX.54,-164.9
FLUX.55,-150.04
FLUX.56,-186.05
FLUX.57,-213.55
FLUX.58,-100.51
FLUX.59,-27.38
FLUX.60,-2.84
FLUX.61,59.09
FLUX.62,23.68
FLUX.63,18.52
FLUX.64,28.18
FLUX.65,-39.71
FLUX.66,-36.45
FLUX.67,-94.43
FLUX.68,-141.55
FLUX.69,135.48
FLUX.70,135.48
FLUX.71,144.34
FLUX.72,69.99
FLUX.73,31.52
FLUX.74,63.68
FLUX.75,12.8
FLUX.76,2.93
FLUX.77,-32.93
FLUX.78,-57.45
FLUX.79,-75.35
FLUX.80,-189.57
FLUX.81,-184.04
FLUX.82,-173.71
FLUX.83,-129.15
FLUX.84,-68.79
FLUX.85,5.26
FLUX.86,-6.05
FLUX.87,-28.41
FLUX.88,11.45
FLUX.89,-6.62
FLUX.90,-56.7
FLUX.91,-104.96
FLUX.92,72.16
FLUX.93,207.23
FLUX.94,207.23
FLUX.95,86.29
FLUX.96,91.29
FLUX.97,76.71
FLUX.98,15.24
FLUX.99,36.05
FLUX.100,2.43
FLUX.101,90.21
FLUX.102,22.6
FLUX.103,62.49
FLUX.104,11.76
FLUX.105,-0.34
FLUX.106,-21.93
FLUX.107,-102.57
FLUX.108,-70.6
FLUX.109,-196.43
FLUX.110,-153.6
FLUX.111,-153.79
FLUX.112,-95.24
FLUX.113,-90.9
FLUX.114,-18.13
FLUX.115,33.21
FLUX.116,51.23
FLUX.117,25.38
FLUX.118,28.15
FLUX.119,-4.6
FLUX.120,-51.54
FLUX.121,-98.99
FLUX.122,-175.46
FLUX.123,-272.15
FLUX.124,-295.77
FLUX.125,-341.23
FLUX.126,-421.52
FLUX.127,-442.88
FLUX.128,-388.76
FLUX.129,-164.79
FLUX.130,-164.79
FLUX.131,-50.49
FLUX.132,-67.07
FLUX.133,-15.12
FLUX.134,8.71
FLUX.135,13.73
FLUX.136,41.24
FLUX.137,3.68
FLUX.138,-20.79
FLUX.139,-79.1
FLUX.140,-112.38
FLUX.141,-44.8
FLUX.142,-44.8
FLUX.143,-31.37
FLUX.144,-115.98
FLUX.145,-151.38
FLUX.146,-110.65
FLUX.147,-148.49
FLUX.148,-167.85
FLUX.149,-171.29
FLUX.150,-97.09
FLUX.151,-85.57
FLUX.152,-54.34
FLUX.153,-60.87
FLUX.154,-31.26
FLUX.155,-1.27
FLUX.156,26.88
FLUX.157,37.65
FLUX.158,13.3
FLUX.159,-66.43
FLUX.160,-75.98
FLUX.161,-139.43
FLUX.162,-150.88
FLUX.163,-265.16
FLUX.164,4.71
FLUX.165,4.71
FLUX.166,4.71
FLUX.167,-99.74
FLUX.168,-125.26
FLUX.169,-103.49
FLUX.170,-119.01
FLUX.171,-32.3
FLUX.172,-20.51
FLUX.173,-22.43
FLUX.174,-13.13
FLUX.175,-3.9
FLUX.176,19.16
FLUX.177,-13.43
FLUX.178,-78.91
FLUX.179,-133.12
FLUX.180,-179.48
FLUX.181,-274.27
FLUX.182,-362.8
FLUX.183,-423.76
FLUX.184,-450.7
FLUX.185,-441.73
FLUX.186,-448.91
FLUX.187,-390.27
FLUX.188,-373.1
FLUX.189,30.45
FLUX.190,30.45
FLUX.191,64.15
FLUX.192,69.93
FLUX.193,91.34
FLUX.194,46.65
FLUX.195,67.62
FLUX.196,-23.37
FLUX.197,-61.23
FLUX.198,-40.6
FLUX.199,-36.48
FLUX.200,-52.15
FLUX.201,-101.26
FLUX.202,-19.59
FLUX.203,-50.52
FLUX.204,-34.82
FLUX.205,30.16
FLUX.206,-14.38
FLUX.207,11.24
FLUX.208,24.05
FLUX.209,68.55
FLUX.210,75.66
FLUX.211,58.68
FLUX.212,58.38
FLUX.213,73.3
FLUX.214,73.3
FLUX.215,136.41
FLUX.216,25.99
FLUX.217,62.51
FLUX.218,4.71
FLUX.219,0.85
FLUX.220,40.51
FLUX.221,-36.95
FLUX.222,-130.13
FLUX.223,-136.18
FLUX.224,-63.41
FLUX.225,-75.7
FLUX.226,-79.63
FLUX.227,-0.43
FLUX.228,41.57
FLUX.229,52.24
FLUX.230,14.73
FLUX.231,14.04
FLUX.232,-23.05
FLUX.233,-44.24
FLUX.234,-87.18
FLUX.235,-93.93
FLUX.236,-288.98
FLUX.237,-41.02
FLUX.238,-41.02
FLUX.239,-83.68
FLUX.240,-88.35
FLUX.241,-101.45
FLUX.242,2.4
FLUX.243,-3.99
FLUX.244,-7.16
FLUX.245,-34.9
FLUX.246,12.98
FLUX.247,23.2
FLUX.248,-44.48
FLUX.249,-4.37
FLUX.250,-44.09
FLUX.251,-91.57
FLUX.252,-150.26
FLUX.253,-205.23
FLUX.254,-320.02
FLUX.255,-335.85
FLUX.256,-372.79
FLUX.257,-422.21
FLUX.258,-401.02
FLUX.259,-392.52
FLUX.260,-366.9
FLUX.261,-131.57
FLUX.262,-131.57
FLUX.263,-109.23
FLUX.264,-111.26
FLUX.265,-63.13
FLUX.266,-58.49
FLUX.267,-38.07
FLUX.268,-38.82
FLUX.269,-19.15
FLUX.270,-50.91
FLUX.271,-124.05
FLUX.272,-189.68
FLUX.273,50.37
FLUX.274,50.37
FLUX.275,17.43
FLUX.276,0.05
FLUX.277,43.2
FLUX.278,94.16
FLUX.279,-63.57
FLUX.280,-67.51
FLUX.281,-97.41
FLUX.282,-83.35
FLUX.283,-45.48
FLUX.284,-6.88
FLUX.285,15.73
FLUX.286,15.73
FLUX.287,46.2
FLUX.288,10.02
FLUX.289,44.55
FLUX.290,-86.51
FLUX.291,-91.63
FLUX.292,-96.93
FLUX.293,-66.74
FLUX.294,-14.29
FLUX.295,-63.1
FLUX.296,-52.9
FLUX.297,-63.79
FLUX.298,-98.91
FLUX.299,-93.01
FLUX.300,-79.52
FLUX.301,-70.74
FLUX.302,-102.32
FLUX.303,-47.99
FLUX.304,-43.35
FLUX.305,-65.82
FLUX.306,-16.76
FLUX.307,-53.34
FLUX.308,-70.98
FLUX.309,-4.09
FLUX.310,-4.09
FLUX.311,55.66
FLUX.312,97.37
FLUX.313,64.48
FLUX.314,37.18
FLUX.315,22.68
FLUX.316,-56.98
FLUX.317,-21.09
FLUX.318,7.62
FLUX.319,-23.43
FLUX.320,142.98
FLUX.321,18.88
FLUX.322,-28.13
FLUX.323,-18.95
FLUX.324,-40.48
FLUX.325,-57.8
FLUX.326,-49.91
FLUX.327,-108.16
FLUX.328,-89.93
FLUX.329,-116.41
FLUX.330,-56.77
FLUX.331,-42.6
FLUX.332,-37.76
FLUX.333,-76.6
FLUX.334,7.62
FLUX.335,12.15
FLUX.336,-43.8
FLUX.337,-51.52
FLUX.338,63.34
FLUX.339,3.71
FLUX.340,-69.62
FLUX.341,-99.18
FLUX.342,-16.79
FLUX.343,-86.84
FLUX.344,-147.52
FLUX.345,-10.1
FLUX.346,-10.1
FLUX.347,8.68
FLUX.348,-23.46
FLUX.349,8.37
FLUX.350,6.74
FLUX.351,-20.35
FLUX.352,-26.37
FLUX.353,48.01
FLUX.354,43.1
FLUX.355,8.88
FLUX.356,52.29
FLUX.357,40.26
FLUX.358,16.9
FLUX.359,51.23
FLUX.360,28.51
FLUX.361,25.93
FLUX.362,-27.21
FLUX.363,26.29
FLUX.364,-7.52
FLUX.365,-26.91
FLUX.366,10.85
FLUX.367,43.8
FLUX.368,28.37
FLUX.369,-40.87
FLUX.370,-94.88
FLUX.371,-68.18
FLUX.372,-49.04
FLUX.373,-30.68
FLUX.374,-46.52
FLUX.375,-55.21
FLUX.376,-58.7
FLUX.377,-27.4
FLUX.378,-32.13
FLUX.379,-68.96
FLUX.380,-57.65
FLUX.381,-63.51
FLUX.382,-63.51
FLUX.383,-45.52
FLUX.384,-87.79
FLUX.385,-37.59
FLUX.386,-25.4
FLUX.387,-22.6
FLUX.388,-63.4
FLUX.389,-36.29
FLUX.390,-24.02
FLUX.391,-74.93
FLUX.392,-123.26
FLUX.393,34.41
FLUX.394,34.41
FLUX.395,39.48
FLUX.396,21.76
FLUX.397,82.96
FLUX.398,85.34
FLUX.399,39.95
FLUX.400,103.29
FLUX.401,89.68
FLUX.402,53.01
FLUX.403,47.21
FLUX.404,57.1
FLUX.405,108.98
FLUX.406,96.74
FLUX.407,86.7
FLUX.408,39.09
FLUX.409,48.43
FLUX.410,21.55
FLUX.411,111.27
FLUX.412,96.27
FLUX.413,-2.3
FLUX.414,103.99
FLUX.415,83.7
FLUX.416,92.3
FLUX.417,41.57
FLUX.418,82.99
FLUX.419,108.77
FLUX.420,103.7
FLUX.421,81.35
FLUX.422,-82.74
FLUX.423,-90.8
FLUX.424,-32.93
FLUX.425,6.23
FLUX.426,49.38
FLUX.427,15.38
FLUX.428,42.6
FLUX.429,31.88
FLUX.430,-13.49
FLUX.431,-14.41
FLUX.432,44.3
FLUX.433,-17.76
FLUX.434,-56.2
FLUX.435,-72.76
FLUX.436,-53.27
FLUX.437,-36.59
FLUX.438,-20.54
FLUX.439,2.52
FLUX.440,18.9
FLUX.441,22.38
FLUX.442,13.66
FLUX.443,22.46
FLUX.444,31.55
FLUX.445,-0.23
FLUX.446,26.46
FLUX.447,26.3
FLUX.448,35.52
FLUX.449,36.85
FLUX.450,66.15
FLUX.451,41.37
FLUX.452,-0.35
FLUX.453,4.32
FLUX.454,-61.37
FLUX.455,-63.9
FLUX.456,-123.88
FLUX.457,-125.82
FLUX.458,-161.62
FLUX.459,-157.24
FLUX.460,-155.02
FLUX.461,-193.02
FLUX.462,-238.54
FLUX.463,-238.45
FLUX.464,-265.16
FLUX.465,0.4
FLUX.466,0.4
FLUX.467,-36.37
FLUX.468,-22.01
FLUX.469,24.51
FLUX.470,-3.48
FLUX.471,-63.02
FLUX.472,-30.04
FLUX.473,-55.76
FLUX.474,-15.65
FLUX.475,10.49
FLUX.476,9.73
FLUX.477,279.09
FLUX.478,279.09
FLUX.479,199.91
FLUX.480,208.29
FLUX.481,221.43
FLUX.482,192.37
FLUX.483,256.82
FLUX.484,236.43
FLUX.485,200.98
FLUX.486,213.21
FLUX.487,227.48
FLUX.488,255.46
FLUX.489,232.85
FLUX.490,216.1
FLUX.491,202.55
FLUX.492,210.35
FLUX.493,121.3
FLUX.494,227.46
FLUX.495,127.35
FLUX.496,138.12
FLUX.497,110.7
FLUX.498,88.13
FLUX.499,110.66
FLUX.500,118.91
FLUX.501,102.95
FLUX.502,155.37
FLUX.503,148.15
FLUX.504,122.38
FLUX.505,140.95
FLUX.506,157.62
FLUX.507,128.01
FLUX.508,98.4
