FLUX,VALUE
FLUX.1,14.28
FLUX.2,10.63
FLUX.3,14.56
FLUX.4,12.42
FLUX.5,12.07
FLUX.6,12.92
FLUX.7,12.27
FLUX.8,3.19
FLUX.9,8.47
FLUX.10,8.38
FLUX.11,10.04
FLUX.12,7.35
FLUX.13,1.61
FLUX.14,2.83
FLUX.15,7.04
FLUX.16,0.95
FLUX.17,5.06
FLUX.18,8.48
FLUX.19,7.91
FLUX.20,-1.32
FLUX.21,-0.36
FLUX.22,-2.41
FLUX.23,15.94
FLUX.24,4.29
FLUX.25,4.58
FLUX.26,2.23
FLUX.27,6.68
FLUX.28,8.21
FLUX.29,11.21
FLUX.30,11.09
FLUX.31,4.03
FLUX.32,17.81
FLUX.33,8.82
FLUX.34,2.77
FLUX.35,7.57
FLUX.36,-1.34
FLUX.37,6.41
FLUX.38,-2.79
FLUX.39,2.7
FLUX.40,7.89
FLUX.41,7.95
FLUX.42,0.29
FLUX.43,-5.34
FLUX.44,-5.13
FLUX.45,0.04
FLUX.46,4.64
FLUX.47,5.94
FLUX.48,-3.88
FLUX.49,-3.08
FLUX.50,0.71
FLUX.51,-1.83
FLUX.52,1.2
FLUX.53,3.17
FLUX.54,-0.06
FLUX.55,0.61
FLUX.56,5.66
FLUX.57,1.44
FLUX.58,0
FLUX.59,3.55
FLUX.60,0.27
FLUX.61,0.05
FLUX.62,5.26
FLUX.63,1.17
FLUX.64,-2.22
FLUX.65,6.37
FLUX.66,11.23
FLUX.67,-0.57
FLUX.68,-0.57
FLUX.69,-8.92
FLUX.70,-3.03
FLUX.71,-9.5
FLUX.72,-2.96
FLUX.73,-3.82
FLUX.74,-0.58
FLUX.75,-4.86
FLUX.76,-8.34
FLUX.77,-7.34
FLUX.78,0.7
FLUX.79,-5.83
FLUX.80,-7.28
FLUX.81,-6.82
FLUX.82,-11.14
FLUX.83,0
FLUX.84,-6.61
FLUX.85,-5.74
FLUX.86,-10.8
FLUX.87,-3.88
FLUX.88,8.72
FLUX.89,-3.35
FLUX.90,-2.21
FLUX.91,-1.05
FLUX.92,-0.33
FLUX.93,2.56
FLUX.94,-1.54
FLUX.95,-7.42
FLUX.96,-0.24
FLUX.97,-11.82
FLUX.98,-0.5
FLUX.99,-9.61
FLUX.100,1.23
FLUX.101,-6.42
FLUX.102,-16.4
FLUX.103,-8.37
FLUX.104,-9.03
FLUX.105,-3.62
FLUX.106,-6.12
FLUX.107,-4.29
FLUX.108,-9.73
FLUX.109,-5.62
FLUX.110,2.54
FLUX.111,-9.06
FLUX.112,-10.15
FLUX.113,-1.09
FLUX.114,-4.49
FLUX.115,-6.96
FLUX.116,-9.99
FLUX.117,-1.4
FLUX.118,-7.2
FLUX.119,-6.02
FLUX.120,-5.23
FLUX.121,-1.19
FLUX.122,-4.88
FLUX.123,-6.37
FLUX.124,-6.11
FLUX.125,-9.31
FLUX.126,-8.91
FLUX.127,-7.76
FLUX.128,-9.28
FLUX.129,-7.1
FLUX.130,-5.32
FLUX.131,-10.85
FLUX.132,-8.86
FLUX.133,-8.03
FLUX.134,-7.15
FLUX.135,-2.05
FLUX.136,-2.55
